date,action,symbol,shares,price,amount
2024-02-23,SELL,FPT,312600,75.0199966430664,23416074.074196626
2024-02-23,SELL,VPB,7015200,17.709999084472656,124052826.79902649
2024-02-23,SELL,HPG,1224000,19.190000534057617,23453327.812705994
2024-02-23,BUY,ACB,7452200,19.170000076293945,143072962.58041057
2024-02-23,BUY,MWG,3319900,43.029998779296875,143069575.88680878
2024-02-23,BUY,VIC,6321100,22.600000381469727,143071147.70492527
2024-02-26,SELL,VCB,397200,59.439998626708984,23574153.10334702
2024-02-26,SELL,PLX,1598100,32.779998779296875,52307137.475120544
2024-02-26,SELL,MWG,3319900,43.380001068115234,143801239.64771673
2024-02-26,SELL,VIC,6321100,22.299999237060547,140749084.38961735
2024-02-26,SELL,HDB,1669900,14.020000457763672,23376880.76627293
2024-02-26,SELL,ACB,7452200,19.309999465942383,143686125.0530657
2024-02-26,BUY,VHM,725100,43.349998474121094,31480233.519425586
2024-02-26,BUY,BID,717300,43.81999969482422,31479233.909769062
2024-02-26,BUY,MSN,471200,66.69999694824219,31476182.119854737
2024-02-26,BUY,LPB,2427300,12.949999809265137,31480684.83883481
2024-02-26,BUY,VNM,506100,62.099998474121094,31475952.441594318
2024-02-27,SELL,VHM,725100,44.20000076293945,32001346.422377586
2024-02-27,SELL,TCB,1266100,19.40999984741211,24538138.30559826
2024-02-27,SELL,MSN,471200,67.5999984741211,31805339.602084354
2024-02-27,SELL,GAS,798500,66.54000091552734,53052492.44495201
2024-02-27,SELL,VNM,506100,62.97999954223633,31826366.50167332
2024-02-27,BUY,HPG,1643200,20.5,33736128.4
2024-02-27,BUY,VPB,1916100,17.579999923706055,33735565.41059389
2024-02-27,BUY,PLX,1014600,33.20000076293945,33735247.85523949
2024-02-27,BUY,MWG,769600,43.77000045776367,33735920.44082337
2024-02-27,BUY,GVR,1193200,28.229999542236328,33734561.50697708
2024-02-28,SELL,VPB,1916100,18.06999969482422,34571990.52562981
2024-02-28,SELL,HPG,1643200,20.670000076293945,33913996.709178165
2024-02-28,BUY,VCB,2888000,64.68000030517578,187076034.64266968
2024-02-28,BUY,GAS,2793000,66.87999725341797,187076026.07728958
2024-02-28,BUY,VRE,6719300,27.799999237060547,187076729.6758913
2024-02-29,SELL,MWG,769600,45.189998626708984,34726055.608700566
2024-02-29,SELL,GVR,1193200,27.940000534057617,33288001.624281693
2024-02-29,BUY,VHM,1992700,43.400001525878906,86612907.81517984
2024-02-29,BUY,VIC,3843700,22.5,86612974.875
2024-03-01,SELL,VCB,2888000,64.62000274658203,186342634.0802307
2024-03-01,SELL,VHM,1992700,43.95000076293945,87447797.77052899
2024-03-01,SELL,MBB,1432900,15.300000190734863,21890485.217894033
2024-03-01,SELL,VIC,3843700,22.6200008392334,86814080.47992277
2024-03-01,BUY,TCB,883000,19.360000610351562,17120522.85974884
2024-03-01,BUY,VPB,957800,17.850000381469727,17122375.46091976
2024-03-01,BUY,GVR,600300,28.479999542236328,17122188.540792275
2024-03-04,SELL,GVR,600300,29.110000610351562,17448521.266344454
2024-03-04,BUY,SHB,4942500,8.600000381469727,42569260.13824225
2024-03-05,SELL,CTG,2180400,25.010000228881836,54450006.79230538
2024-03-05,SELL,VPB,957800,17.940000534057617,17157158.112753104
2024-03-05,SELL,GAS,2793000,67.73999786376953,188914017.31245804
2024-03-05,SELL,LPB,2427300,13.289999961853027,32210428.682044744
2024-03-05,BUY,MBB,5413600,15.680000305175781,85012577.52657777
2024-03-05,BUY,MWG,1735900,48.900001525878906,85012840.91774635
2024-03-05,BUY,MSN,1121300,75.69999694824219,85009730.18793108
2024-03-05,BUY,GVR,2926000,29.010000228881836,85010585.56071281
2024-03-06,SELL,SHB,4942500,8.569999694824219,42293687.6564312
2024-03-06,SELL,MWG,1735900,47.630001068115234,82556897.47586003
2024-03-06,SELL,MSN,1121300,76.9000015258789,86098629.75340158
2024-03-06,BUY,CTG,1032600,24.770000457763672,25615868.726395797
2024-03-06,BUY,VNM,407200,62.79999923706055,25610517.928865053
2024-03-06,BUY,VHM,593400,43.099998474121094,25613902.403185274
2024-03-06,BUY,VIC,1129200,22.649999618530273,25614744.138598256
2024-03-07,SELL,VHM,593400,43.20000076293945,25596428.13204918
2024-03-07,SELL,CTG,1032600,24.56999969482422,25332925.212348178
